beta,repeat,generation,unique_ratio,similarity
100.0,0,150,0.462,0.20005722553706645
100.0,0,196,0.39,0.18148976669921627
100.0,0,267,0.412,0.20396656640909933
100.0,0,104,0.652,0.18587993112253987
100.0,0,99,0.626,0.19914847578943032
100.0,0,192,0.39,0.21299013383839516
100.0,0,100,0.588,0.20632841878590719
100.0,0,217,0.36,0.2421225851204973
100.0,0,16,0.84,0.10667678521233544
100.0,0,94,0.662,0.16828488949171522
100.0,0,142,0.576,0.19076115651474349
100.0,0,213,0.402,0.19651488436294406
100.0,0,259,0.404,0.18967031577636861
100.0,0,64,0.666,0.1832173377133532
100.0,0,184,0.42,0.20065718348811437
100.0,0,255,0.366,0.2396503763449105
100.0,0,180,0.422,0.2108697156731266
100.0,0,297,0.324,0.2915692232909582
100.0,0,205,0.356,0.24251168834865994
100.0,0,293,0.326,0.260363213198077
100.0,0,130,0.444,0.3262184275849048
100.0,0,201,0.412,0.2081833794270998
100.0,0,247,0.338,0.2429689489388882
100.0,0,318,0.418,0.1666262321536577
100.0,0,172,0.39,0.3269386467810797
100.0,0,243,0.292,0.28915229348718535
100.0,0,67,0.7,0.16323985086283005
100.0,0,285,0.362,0.20388675005783358
100.0,0,356,0.318,0.31598307747091187
100.0,0,281,0.428,0.16005988498836202
100.0,0,398,0.356,0.21336749720959367
100.0,0,62,0.7,0.15064274561161978
100.0,0,306,0.322,0.27633959587178847
100.0,0,32,0.82,0.16880751958646173
100.0,0,231,0.418,0.18905775182784704
100.0,0,302,0.302,0.21665757459534263
100.0,0,348,0.344,0.26144225407623745
100.0,0,419,0.292,0.24567729983205844
100.0,0,273,0.356,0.30267579914382803
100.0,0,344,0.358,0.32042114061652116
100.0,0,386,0.324,0.19456876636793885
100.0,0,499,0.27,0.2035605265863413
100.0,0,336,0.312,0.3266605710384481
100.0,0,407,0.318,0.20239990272727634
100.0,0,35,0.828,0.13037736812448367
100.0,0,261,0.376,0.21912838122933742
100.0,0,332,0.39,0.24226454603809588
100.0,0,449,0.308,0.2875472431974683
100.0,0,374,0.338,0.22327793273127283
100.0,0,445,0.302,0.2548745241719144
100.0,0,30,0.828,0.17483215752128095
100.0,0,370,0.374,0.23837687304324978
100.0,0,487,0.298,0.2116619389121489
100.0,0,324,0.344,0.21927280381298475
100.0,0,320,0.35,0.29593807968069213
100.0,0,437,0.312,0.31718662719734253
100.0,0,38,0.782,0.13344244892062407
100.0,0,362,0.378,0.24994790807524422
100.0,0,433,0.314,0.3040564802441817
100.0,0,479,0.308,0.2963981097151997
100.0,0,86,0.728,0.2072695547431495
100.0,0,475,0.254,0.25099384088242677
100.0,0,179,0.446,0.21575437744626783
100.0,0,81,0.142,0.6063199180599689
100.0,0,425,0.282,0.3029851750595343
100.0,0,129,0.452,0.3574274503370069
100.0,0,350,0.376,0.2542016454720103
100.0,0,421,0.292,0.3360603727493017
100.0,0,467,0.25,0.3635428817927958
100.0,0,463,0.262,0.3408168381244637
100.0,0,167,0.45,0.14219332446858696
100.0,0,89,0.636,0.20905554224678513
100.0,0,413,0.314,0.21228930994131417
100.0,0,117,0.47,0.2271274341503752
100.0,0,84,0.802,0.17449982354350332
